n,m,n_wind,total_energy,total_time
10,20,1,11185.405213446273,40.34819960594177
20,20,1,11404.799999999997,30.39056968688965
10,20,36,19221.444484114025,33.18194317817688
20,20,36,19437.5157538292,55.441565990448
10,30,1,15738.451735583429,38.25371026992798
20,30,1,16774.372899491333,30.900360107421875
10,30,36,27443.339832063684,24.071020126342773
20,30,36,28023.58597081735,65.3566484451294
10,40,1,19265.2135261008,21.588496446609497
20,40,1,21940.376565225783,40.154128551483154
10,40,36,34900.45803093269,23.217264890670776
20,40,36,35693.351071761164,45.7794554233551
